ID Number,street,City,State,Zipcode
5457,1915 South Trumbull Avenue,Chicago,IL,60623
5586,2219 S St Louis,Chicago,IL,60623
5616,N Marywood Ave in,Chicago,IL,60651
5613,Arlington Heights Rd Street Miner St,,,60004
5614,55 North Ave Northlake,,,60164
5612,na,Chicago,IL,60000
5611,2554 W 40th Street Apt 1,Chicago,IL,60632
5609,53rd St St Louis Ave,Chicago,IL,60632
5610,43rd and Talman,Chicago,IL,60632
5615,5600 Pearl St Rosemont,,,60018
5607,4847 S Laflin St,Chicago,IL,60609
5606,NA,Chicago,IL,60000
5608,NA,Chicago,IL,60000
5602,140 W Lake St Addison,,,60101
5598,NA,,,60601
5604,Carol Stream,,,60188
5605,5532 S Harlem Ave Summit,,,60501
5593,2700 International Dr West,Chicago,IL,60185
5603,W Catalpa Ave N Lincoln Ave,Chicago,IL,60625
5601,2700 International Dr West,Chicago,IL,60185
5600,N Kostner Ave W Sunnyside Ave,Chicago,IL,60630
5599,500 N Gary Ave Carol Stream,,,60188
5597,W Thorndale Ave N Maplewood Ave,Chicago,IL,60659
5596,535 Thornhill Dr Carol Stream,,,60188
5594,2264 Century Point Ln Glendale Heights,,,60139
5595,1500 W Lake St Roselle,,,60172
5591,Wilson and Beacon,Chicago,IL,60640
5590,8955 N Greenwood Ave Niles,,,60714
5589,I57 near Hwy 30,,,60148
5592,102 S St,Joliet,,60436
5584,Kennedy Expressway,,,0
5583,W 26th St S Keeler Ave,Chicago,IL,60623
5582,Cary and Fox River Grove,,,60021
5581,Yellow Line CTA at Dempster Terminal Ave and Carol St,Skokie,,60077
5580,3040 Mannheim Rd Franklin Park,,,60131
5579,McCormick Rd,Evanston,,60201
5573,S Woodlawn Ave E 54th St,Chicago,IL,60615
5574,235 E North Ave Glendale Heights,,,60139
5572,W 23rd St S Marshall Blvd,Chicago,IL,60623
5571,3322 W 47th St,Chicago,IL,60632
5575,Belmont Lavergne,Chicago,IL,60641
5587,1600 S Ave,Cicero,IL,60804
5585,W Roscoe St N Hamlin Ave,Chicago,IL,60618
5588,NA,Aurora,,60505
5578,Kenmore and Catalpa 6040,Chicago,IL,60640
5577,2803 S Ave,Cicero,IL,60804
5576,1930 Beach St,Broadview,,60155
5569,111th and Kedzie,Chicago,IL,60655
5554,1211 Ave linois,Evanston,IL,60202
5570,Cermak 13th in,Cicero,IL,60632
5553,Custer Ave between Oakton and Case,Evanston,,60202
5548,801 S Loomis St,Chicago,IL,60607
5549,2555 N Pulaski Rd,Chicago,IL,60639
5551,5905 N 2nd St Loves Park,,,61111
5550,5309 S Maplewood Ave,Chicago,IL,60632
5552,131 N Clinton St,Chicago,IL,60661
5505,778 Fulton st,Aurora,,60505
5507,2216 Main Street,Evanston,,60201
5506,Humboldt Park,Chicago,IL,60624
5508,4049 West Potomac,Chicago,IL,60651
5510,2442 Poplar Ave,,,60201
5511,600 Maple Ave Wilmette,,,60091
5512,Cermak and Loomis Psen,Chicago,IL,60608
5514,NA,,,60091
5515,55 and Kolmar,Chicago,IL,60629
5513,Corner of Prospect Ave and Hawley,,,60060
5517,295 E Army Trail Rd,,,60139
5521,3421 W Armitage,Chicago,IL,60647
5518,Euclid and Adams,Oak Park,,60304
5523,Damen and 21st,Chicago,IL,60608
5516,3408 W Armitage Ave,Chicago,IL,60647
5522,Armitage and Kimball,Chicago,IL,60647
5519,kimball and armitage,Chicago,IL,60647
5524,NA,,,60070
5520,Armitage and St Louis,Chicago,IL,60647
5526,Piper Lane,,,60070
5525,67th and Mozart,Chicago,IL,60645
5530,NA,Chicago,IL,60614
5529,3111 S Lawndale Ave,Chicago,IL,60623
5528,6322 W 26th St Berwyn,,,60402
5566,1020 Plant Rd Wheeling,,,60090
5494,604 N Milwaukee Avenue Piper Lane,,,60070
5527,431 N Neltnor Blvd West,Chicago,IL,60185
5568,3420 W 63rd St,Chicago,IL,60629
5460,Touhy Ave Osceola Ave,Chicago,IL,60631
5459,Cermark towards Orchard Road,Aurora,,60506
5458,W 35th St Ashland Ave,Chicago,IL,60609
5413,Best Buy 615 E Palatine Rd,,,60004
5425,615 E Palatine Rd Arlington Heights Parking Lot,Chicago,IL,60004
5462,Ravisloe Teff Country Club Hills,,,60478
5463,55 E Monroe St suite 1500,Chicago,IL,60603
5461,2700 International Dr West,Chicago,IL,60185
5564,55th California,Chicago,IL,60632
5565,56th and California,Chicago,IL,60632
5563,Mount Prospect off Algonquin Road Des Plaines,,,60018
5560,5001 N Pulaski Rd,Chicago,IL,60630
5561,between Michigan Ave and Custer,Evanston,IL,60202
5562,Carol Stream Renaissance apartment,,,60288
5559,Carol Stream Renaissance apartment 201 Flame Dr Carol Stream,,,60288
5556,4150 S Karlov Ave,Chicago,IL,60632
5414,Algonquin Dearborn Ct httpsmapsappgooglgbjs4SgcVktnKspq8gst=ipc,,,60056
5424,S Paulina St W 49th St,Chicago,IL,60609
5555,N Albany Ave W Rosemont Ave,Chicago,IL,60659
5558,Covered Bridges Apartments at 637 Burns St Carol Stream,,,60188
5557,Lake Cook and Rand,,,60074
5488,800 Shermer Rd Glenview,,,60025
5490,S Sawyer Ave W Cermak Rd,Chicago,IL,60623
5491,W Ogden Ave S Kedzie Ave,Chicago,IL,60623
5489,3255 Central St,Evanston,,60201
5495,7159 82nd St Bridgeview,,,60455
5493,W OHare Ave,Chicago,IL,60666
5492,W Montrose Ave N Broadway,Chicago,IL,60640
5496,3700 North Lawndale Ave,Chicago,IL,60618
5497,W Madison St S Menard Ave,Chicago,IL,60644
5499,7800 South Kingery Highway Willowbrook,,,60527
5500,Immigration Court,,,?????
5498,778 Fulton St,Aurora,,60505
5501,N McCormick Blvd Howard St,Skokie,,60076
5504,N Kedzie Ave W Devon Ave Lincolnwood,Chicago,IL,60645
5509,1930 Beach St,Broadview,,60155
5502,na,,,NA
5503,N Kedzie Ave W Arthur Ave,Chicago,IL,60645
5531,50 veterans pkwy Bolingbrook,,,60490
5532,26th and Kedzie,Chicago,IL,60623
5533,813 E 4000 S Rd Kankakee,,,60901
5535,Augusta and Harlem,Oak Park,IL,60302
5536,1000 W Ohare International Ave,Chicago,IL,60666
5534,5530 W Homer St,Chicago,IL,60639
5539,S Commercial Ave,Chicago,IL,60633
5540,7900 N Milwaukee Ave Niles,,,60714
5410,3000 Kirchoff Rd,Rolling Meadows,,60008
5357,809 Civic Center Dr Niles,Chicago,IL,60714
5538,901 Civic Center Dr Niles,,,60714
5547,NA,,,60098
5543,Ashland Ave and 18th,Chicago,IL,60608
5544,2510 Jane Addams Mem TollwayBelvidere,,,61008
5546,NA,,,60101
5545,1228 Lake Ave Wilmette,,,60091
5409,2224 Cleveland St,Evanston,,60202
5537,NA,Evanston,,60201
5542,NA,Chicago,IL,60632
5405,900 Troost Ave,,,60130
5541,Oaken and McCormick,Skokie,,60076
5406,7300 S Ave,Chicago,IL,60629
5356,Home Depot on Oakton,,,60202
5402,Home Depot in,Cicero,IL,60804
5407,150 South Lombard Ave,Oak Park,,60304
5408,State and National,Elgin,IL,60123
5567,1087 N King Charles Ct Palatine,,,60067
5403,Lawrence Ave and Hoxie Ave Township,Elgin,IL,60123
5411,5309 S Maplewood,Chicago,IL,60632
5355,Green Bay and Asbury,Evanston,,60201
5404,Humboldt Park or East Garfield Park,Chicago,IL,60651
5412,Devon Ave and Glenwood passing over Loyola University,Chicago,IL,60626
5400,2300 Green Bay Rd,Evanston,,60201
5385,Milwaukee Ave and Maple Wood Ave,Chicago,IL,60647
5398,Willy and Grace diner on walnut avenue in,Elgin,IL,60123
5384,NA,Chicago,IL,60610
5401,S around Roosevelt,Oak Park,IL,60301
5397,Roosevelt and Mayfield outside of Children International Daycare,Oak Park,IL,60644
5381,31 and Bowes road,Elgin,IL,60124
5380,shoreline in,Evanston,,60204
5378,2601 S Ave,Cicero,IL,60804
5396,1500 S 59th Ct,Cicero,IL,60804
5375,Ainslie and Pulaski,Chicago,IL,60630
5377,5858 W Roosevelt Rd,Cicero,IL,60644
5374,2086 North Milwaukee Avenue,Chicago,IL,60647
5376,5622 W Roosevelt Rd,Oak Park,IL,60644
5379,2803 S Ave,Cicero,IL,60804
5371,W Ida B Wells Dr,Chicago,IL,60607
5372,NA,Broadview,,60155
5373,Central Exit E on 290 towards the city,Chicago,IL,60644
5395,west on Touhy by Lincoln,Evanston,,60712
5364,NA,Broadview,,60155
5365,Kenilworth and Riverside,,,60402
5370,Lawrence and Pulaski,Chicago,IL,60630
5361,na,Joliet,,60403
5362,na,Chicago,IL,0
5363,Walmart in Palatine,,,60074
5360,COSTCO IN NOTTH RIVERSIDE,,,60546
5358,Euclid Ave and 23rd St,,,60804
5399,1061 Ferrari Dr Bensenville 3705,,,60106
5351,W Argyle St N Winthrop Ave,Chicago,IL,60640
5467,W 31st St S Western Ave,Chicago,IL,60608
5353,4626 W Diversey Ave,Chicago,IL,60639
5354,2531 W Cortez St,Chicago,IL,60622
5484,,Joliet,,60432
5485,74017461 Canal Bank Dr Berwyn,,,60402
5389,S California Ave W 47th St,Chicago,IL,60632
5386,S Elmwood Dr Ridgeway Ave,Chicago,IL,60506
5387,464 Arlingon Ave,Chicago,IL,60120
5391,4242 W 42nd Pl,Chicago,IL,60632
5483,5130 S Hoyne Ave,Chicago,IL,60609
5482,Rosemont,,,60018
5388,4034 W 51st st,Chicago,IL,60632
5392,4653 S Western Blvd,Chicago,IL,60609
5420,3050 W 26th St,Chicago,IL,60623
5468,Cermak Rd S Ave Berwyn,,,60402
5471,2100 S Laramie Ave,Cicero,IL,60804
5481,S Sacramento Dr W Ogden Ave,Chicago,IL,60623
5417,3856 S Archer Ave,Chicago,IL,60632
5469,S Homan Ave W 26th St,Chicago,IL,60623
5416,1653 West 43rd St,Chicago,IL,60609
5472,863 Des Plaines Ave Forest Park,,,60130
5422,S Harlem Ave Jackson Blvd,Oak Park,,60304
5474,1345 S Harlem Ave Berwyn,,,60402
5475,S Avers Ave W 27th St,Chicago,IL,60623
5477,NA,,,60402
5478,4747 S Marshfield Ave,Chicago,IL,60609
5479,2911 W 47th St,Chicago,IL,60632
5480,4555 S Western Blvd,Chicago,IL,60609
5466,500 W Madison St 2nd floor,Chicago,IL,60661
5473,27th St,Chicago,IL,60623
5465,5336 S State St,Chicago,IL,60609
5470,S Kedvale Ave W 26th St,Chicago,IL,60623
5464,2700 International Dr West,Chicago,IL,60185
5454,,Chicago,IL,60623
5453,5042 S Artesian Ave,Chicago,IL,60632
5452,S Western Ave W Garfield Blvd,Chicago,IL,60609
5451,W 26th St S Keeler Ave,Chicago,IL,60623
5390,2728 S Harding,Chicago,IL,60623
5447,5336 S State St,Chicago,IL,60609
5446,1898 Hartmann Dr Hanover Park,,,60133
5445,W Cermak Rd S Western Ave,Chicago,IL,60608
5449,1930 Beach St,Broadview,,60155
5450,1930 Beach St,Broadview,,60155
5444,S Ave S Archer Ave,Chicago,IL,60638
5443,5309 S Maplewood Ave,Chicago,IL,60632
5352,W 47th St S Hermitage Ave,Chicago,IL,60609
5442,W 44th St S Western Ave,Chicago,IL,60609
5440,W 45th St S Rockwell St,Chicago,IL,60632
5437,4555 S Western Blvd,Chicago,IL,60609
5441,S Western Ave W 50th St,Chicago,IL,60632
5359,27th Hamlin,Chicago,IL,60623
5448,N Wolcott Ave Irving Park Rd,Chicago,IL,60613
5435,W Pershing Rd S Morgan St,Chicago,IL,60609
5436,W 45th St S Western Blvd,Chicago,IL,60609
5434,4023 S Archer Ave,Chicago,IL,60632
5433,W 71st St Ave,Chicago,IL,60652
5438,2916 W 47th St,Chicago,IL,60632
5431,4136 S California Ave,Chicago,IL,60632
5430,W 47th St S Hermitage Ave,Chicago,IL,60609
5429,California 46th Street,Chicago,IL,60632
5432,4544 S California Ave,Chicago,IL,60632
5439,5210 S Ave,Chicago,IL,60638
5428,W 47th St S Honore St,Chicago,IL,60609
5487,S Paulina St W 49th St,Chicago,IL,60609
5427,3320 S Ave,Cicero,IL,60804
5423,S Throop St W 32nd St,Chicago,IL,60608
5426,S Wolcott Ave W 48th St,Chicago,IL,60609
5419,NA,Chicago,IL,60608
5421,W 47th St S Racine Ave,Chicago,IL,60609
5415,4219 50,Chicago,IL,60632
5418,45th St,Chicago,IL,60632
5394,4300 S Wentworth Ave,Chicago,IL,60609
5393,5600 Pearl St Rosemont,,,60018
5476,4430 S Marshfield Ave,Chicago,IL,60609
5486,2700 International Dr West,Chicago,IL,60185
5349,NA,Chicago,IL,60624
5336,2350 Aviation Ave,Chicago,IL,60185
5337,not reported,,,?????
5339,NA,,,?????
5338,NA,,,60126
5340,68th and ridgelandcregier,Chicago,IL,60649
5350,2700 International Drive,Chicago,IL,60185
5341,Initial reported sighting North Ave and Austin Blvd,Oak Park,,60302
5344,NA,Chicago,IL,60632
5342,Harlem Ave and Roberts Rd,,,60455
5334,87th St and Oketo,,,60455
5343,9760 South Roberts Road,,,60465
5345,Lawrence and Kimball,Chicago,IL,60625
5346,NA,,,60105
5347,229 W Grand Ave,,,60106
5348,Church and Grand Avenue,,,60106
5369,2002 W Wilson St Batavia,,,60510
5368,140 W Lake St Addison,,,60101
5367,930 College Blvd Addison,,,60101
5366,415 N Swift Rd Addison,,,60101
5382,W Wilson Ave and N Albany Ave,Chicago,IL,60625
5455,Randall Road in,Chicago,IL,60123
5383,N Monticello Ave and W Leland Ave,Chicago,IL,60625
5456,8127 S Ingleside Ave,Chicago,IL,60619
5331,N Elston Ave W Foster Ave,Chicago,IL,60630
5329,15th St Jackson St,Chicago,IL,60064
5328,S Harlem Ave 105th St,,,60465
5335,105th and Harlem,Chicago,IL,60455
5330,1924 E Touhy Ave Des Plaines,,,60018
5332,3239 N Green Bay Rd 207 Racine WI,,,53404
5327,1167 S State St,Chicago,IL,60605
5333,7501 W Cermak Rd North Riverside,,,60546
5326,N Talman Ave W North Ave,Chicago,IL,60647
5325,S Harlem Ave Tinley Park,,,60477
5319,822 Springinsguth Rd Schaumburg,,,60193
5324,Dixie Hwy Homewood,,,60430
5321,401 Walnut St,,,60093
5318,225 S Canal St,Chicago,IL,60606
5322,Deborah and Mark Ave,Elgin,IL,60123
5320,NA,,,60070
5323,Mill and Lake,,,60101
5307,66 and Laflin,Chicago,IL,60636
5308,604 Milwaukee Ave,,,60070
5302,College BLVD,,,60101
5304,Kane County Judicial Center,,,60175
5306,83 North Ave Elmhurst,,,60126
5305,Romeoville in the Jewel parking lot on Weber and Taylor,,,60446
5301,College BLVD,,,60090
5303,Milwaukee and Lawrence,Chicago,IL,60630
5300,225 Carpenter Ave,,,60090
5299,Palatine Wolf Rd,,,60090
5277,NA,,,60067
5280,9600 S Ave N,Chicago,IL,60617
5279,38th Kedzie Ave,Chicago,IL,60632
5290,163 N Michigan Ave,Chicago,IL,60601
5291,1372 Fargo Ave Des Plaines,,,60018
5289,100 S 3rd St Geneva,,,60134
5288,NA,,,60070
5287,6229 S Artesian Ave,Chicago,IL,60629
5286,4963 N Milwaukee Ave,Chicago,IL,60630
5285,W 63rd Pl S Hamlin Ave,Chicago,IL,60629
5283,3106 N Richmond St,Chicago,IL,60618
5282,8218 S Maryland Ave,Chicago,IL,60619
5281,787799 N Sacramento Blvd,Chicago,IL,60612
5278,248 N Hamlin Ave,Chicago,IL,60624
5284,I294 NB Northbrook,,,60062
5265,N Pulaski Rd W Wilson Ave,Chicago,IL,60630
5267,47th and Western,Chicago,IL,60609
5268,49th and Western,Chicago,IL,60609
5266,Ridge Ave Brummel St,Evanston,,60202
5271,Hwy 90 California exit,Chicago,IL,60641
5270,37W777 38 St Charles,,,60175
5272,921 Pasquinelli Dr Westmont,,,60559
5269,N Luna Ave W Catalpa Ave,Chicago,IL,60630
5273,540 N Schmale Rd Carol Stream,Chicago,IL,60188
5274,500 W Madison St,Chicago,IL,60661
5276,NA,,,60106
5275,5801 S Ellis Ave,Chicago,IL,60637
5262,Harlem and off the 95th exit,,,60455
5298,Harlem and 95th Ridge,Chicago,IL,60415
5297,589 N McLean Blvd,Elgin,IL,60123
5264,1661 Maple Ln,Elgin,IL,60123
5296,Glen Ellyn Rd and Army Trail Rd Glendale heights,,,60139
5295,37 W North Ave Northlake,,,60164
5294,W OHare Ave,Chicago,IL,60666
5293,84th and Harlem Bridgeview,,,60455
5292,Argyle St Marshall Rd Bensenville,,,60106
5231,W OHare Ave,Chicago,IL,60666
5230,1458 N Western Ave,Chicago,IL,60622
5253,6200 Cermak Rd and Highland Berwyn,,,60402
5232,Cermak Rd S 61st Ct,Cicero,IL,60804
5252,Cermak Rd Wesley Ave Riverside Dr,,,60402
5251,Cermak Rd Highland Ave,,,60402
5233,Location couldnt be confirmed It wasnt clear if it was central park or central avenue,Cicero,IL,0
5244,S East Ave Van Buren St,Oak Park,,60304
5246,26th Street St Louis,Chicago,IL,60623
5247,Ashland Ave W Cortez St,Chicago,IL,60622
5245,W 22nd Pl S 58th Ave,Cicero,IL,60804
5248,26th and springfield,Chicago,IL,60623
5249,W Dundee Rd Wheeling Rd Wheeling,,,60090
5317,170th and Oakwood Ave Lansing,,,60438
5250,W 26th St S Austin Blvd,Cicero,IL,60804
5314,2803 S Ave,Cicero,IL,60804
5316,2100 Pfingsten Rd Glenview,,,60026
5311,100 S 3rd St Geneva,Chicago,IL,60134
5313,NA,Cicero,IL,60804
5315,,Chicago,IL,60623
5309,2710 170th St Lansing,Chicago,IL,60438
5312,2309 N Mango Ave,Chicago,IL,60639
5310,Hunt Club Apartments 350 Inland Dr 1B Wheeling,Chicago,IL,60090
5257,NA,,,60534
5256,NA,,,60476
5260,Western and grand,Chicago,IL,60612
5258,610 Willow Wood Dr,,,60188
5255,826 Terrace Lake Dr,Aurora,,60504
5261,greenwood and prairie,Blue Island,,60406
5259,900 W Lake St,,,60101
5254,Hamlin and Augusta,Chicago,IL,60651
