Raid Report,Street Address,City ,State
"Report-5457: Dec. 19 1915 South Trumbull Avenue, Chicago, IL","1915 South Trumbull Avenue, Chicago, IL",,
Report-5586: Dec. 28 2219 S St. Louis Chicago Il ,2219 S St. Louis Chicago Il ,,
Report-5631: Jan. 9 ,,,
Report-5632: Jan. 9 Algonquin Rd & Golf Rd,Algonquin Rd & Golf Rd,,
"Report-5633: Jan. 9 2040 W 119th St, Blue Island, IL 60406","2040 W 119th St, Blue Island, IL 60406",,
"Report-5634: Jan. 9 1930 Beach St, Broadview, IL 60155","1930 Beach St, Broadview, IL 60155",,
Report-5637: Jan. 9 16th St & 50th Court,16th St & 50th Court,,
Report-5635: Jan. 9 ,,,
Report-5636: Jan. 9 ,,,
"Report-5638: Jan. 9 W Addison St, Chicago, IL 60641","W Addison St, Chicago, IL 60641",,
"Report-5639: Jan. 9  Milwaukee Ave ,Chicago IL 60630"," Milwaukee Ave ,Chicago IL 60630",,
"Report-5643: Jan. 9 W 127th St & S Ashland Ave, Calumet Park, IL 60827","W 127th St & S Ashland Ave, Calumet Park, IL 60827",,
"Report-5641: Jan. 9 Belmont & Kostner, Chicago, IL 60641, USA","Belmont & Kostner, Chicago, IL 60641, USA",,
"Report-5642: Jan. 9 Belmont & Central Park, Chicago, IL 60618, USA","Belmont & Central Park, Chicago, IL 60618, USA",,
"Report-5630: Jan. 9 Belmont & Central Park, Chicago, IL 60618, USA","Belmont & Central Park, Chicago, IL 60618, USA",,
"Report-5640: Jan. 9 3645 W Chicago Ave, Chicago, IL 60651, USA","3645 W Chicago Ave, Chicago, IL 60651, USA",,
Report-5617: Jan. 7 N McLean Blvd and Route 20,N McLean Blvd and Route 20,,
"Report-5627: Jan. 7 288 Orland Square Dr, Orland Park, IL 60462","288 Orland Square Dr, Orland Park, IL 60462",,
"Report-5628: Jan. 7 W Van Buren St, Chicago, IL 60612","W Van Buren St, Chicago, IL 60612",,
Report-5629: Jan. 7 Pulaski off of 55 highway,Pulaski off of 55 highway,,
"Report-5622: Jan. 7 1786 W Algonquin Rd, Arlington Heights, IL 60005","1786 W Algonquin Rd, Arlington Heights, IL 60005",,
Report-5625: Jan. 7  Custer St and Park Pl in Lemont IL, Custer St and Park Pl in Lemont IL,,
"Report-5626: Jan. 7 7353 S Cicero Avenue, Chicago, IL, 60629","7353 S Cicero Avenue, Chicago, IL, 60629",,
Report-5620: Jan. 7 ,,,
