ID Number,ZIP Code,Neighborhood or City,Street Address or Intersection,Number of People Detained
5457,60623,North Lawndale,"1915 South Trumbull Avenue, Chicago, IL",1
5586,60623,Chicago - South Lawndale,2219 S St. Louis Chicago Il ,
5616,60651,Chicago - Humboldt Park,N Marywood Ave in Chicago,
5613,60004,Arlington Heights, Arlington Heights Rd Street Miner St,
5614,60164,Northlake,"55 North Ave, Northlake, IL",
5612,60000,Chicago - n.a,n.a,
5611,60632,Chicago - Brighton Park,"2554 W 40th Street Apt 1 Chicago, IL 60632",
5609,60632,Chicago - Archer Heights,"53rd St & St. Louis Ave, Chicago IL 60632 ",
5610,60632,Chicago - Brighton Park,43rd and Talman,1
5615,60018,Rosemont,"5600 Pearl St, Rosemont, IL 60018",
5607,60609,Chicago - Back of the Yards,"4847 S. Laflin St. Chicago, IL ",
5606,60000,Chicago - Chicago,,
5608,60000,Chicago - Airport,,
5602,60101,Addison,"140 W Lake St, Addison, IL 60101",
5598,60601,,,
5604,60188,Carol Stream,"Carol Stream, IL 60188",
5605,60501,Summit,"5532 S Harlem Ave, Summit, IL 60501",
5593,60185,West Chicago,"2700 International Dr, West Chicago, IL 60185",0
5603,60625,Chicago - West Ridge,"W Catalpa Ave & N Lincoln Ave, Chicago, IL 60625",0
5601,60185,West Chicago,"2700 International Dr, West Chicago, IL 60185",
5600,60630,Chicago - Irving Park,"N Kostner Ave & W Sunnyside Ave, Chicago, IL 60630",1
5599,60188,Carol Stream,"500 N Gary Ave, Carol Stream, IL 60188",
5597,60659,Chicago - West Ridge,"W Thorndale Ave & N Maplewood Ave, Chicago, IL 60659",
5596,60188,Carol Stream,"535 Thornhill Dr, Carol Stream, IL 60188",
5594,60139,Glendale Heights,"2264 Century Point Ln, Glendale Heights, IL 60139",1
5595,60172,Roselle,"1500 W Lake St, Roselle, IL 60172",
5591,60640,Chicago - ,Wilson and Beacon,
5590,60714,Niles,"8955 N Greenwood Ave, Niles, IL ",
5589,60148,Matteson,I-57 near Hwy 30,
5592,60436,Joliet,"102 S Joliet St, Joliet, IL 60436",
5584,0,Kennedy Expressway,Kennedy Expressway,
5583,60623,Chicago - South Lawndale,"W 26th St & S Keeler Ave, Chicago, IL 60623",
5582,60021,McHenry ,Cary and Fox River Grove,
5581,60077,Skokie,"Yellow Line CTA at Dempster, Terminal Ave and Carol St. ",
5580,60131,Franklin Park,"3040 Mannheim Rd, Franklin Park, IL 60131",
5579,60201,Evanston,"McCormick Rd, Evanston, IL 60201",
5573,60615,Chicago - Hyde Park,"S Woodlawn Ave & E 54th St Chicago, IL 60615",2
5574,60139,Glendale Heights,"235 E North Ave., Glendale Heights, IL 60139",
5572,60623,Chicago - Little Village,W 23rd St & S Marshall Blvd,
5571,60632,Chicago - Brighton Park,"3322 W 47th St, Chicago, IL 60632",2
5575,60641,Chicago - Belmont Cragin,Belmont & Lavergne,1
5587,60804,Cicero,"1600 S Cicero Ave, Cicero, IL 60804",
5585,60618,Chicago - Avondale,"W Roscoe St & N Hamlin Ave, Chicago Il 60618",
5588,60505,Aurora,,
5578,60640,Chicago - Edgewater,"Kenmore and Catalpa, Chicago, IL 6040",
5577,60804,Cicero,"2803 S Cicero Ave, Cicero, IL 60804",
5576,60155,Broadview,"1930 Beach St, Broadview, IL 60155",
5569,60655,Chicago - West Morgan Park,111th and Kedzie,
5554,60202,Evanston,"1211 Chicago Ave, Evanston, Illinois 60202 ",
5570,60632,Cicero, Cermak / 13th in Cicero,
5553,60202,Evanston,"Custer Ave, between Oakton and Case",
5548,60607,Chicago - Near West Side,"801 S Loomis St, Chicago, IL 60607",
5549,60639,Chicago - Logan Square,"2555 N Pulaski Rd, Chicago, IL 60639",
5551,61111,Loves Park,"5905 N 2nd St, Loves Park, IL 61111",
5550,60632,Chicago - Gage Park,"5309 S Maplewood Ave, Chicago, IL 60632",
5552,60661,Chicago - Near West Side,"131 N Clinton St, Chicago, IL 60661",
5505,60505,Aurora,778 Fulton st Aurora,
5507,60201,Evanston,2216 Main Street Evanston IL,0
5506,60624,Chicago - ,"Humboldt Park, Chicago",
5508,60651,Chicago - ,"4049 West Potomac, Chicago",
5510,60201,eVvanston,"2442 Poplar Ave, Evanston, ",
5511,60091,Wilmette,600 Maple Ave. Wilmette,
5512,60608,Chicago - ,"Cermak and Loomis, PIlsen",
5514,60091,East Willmette,,
5515,60629,Chicago - ,55 and Kolmar,
5513,60060,Mundeleine,Corner of Prospect Ave and Hawley,
5517,60139,Glendale Heights,295 E. Army Trail Rd.,
5521,60647,Chicago - Logan Square,3421 W Armitage,1
5518,60304,Oak Park,Euclid and Adams,
5523,60608,Chicago - Pilsen,Damen and 21st,
5516,60647,Chicago - Logan Square, 3408 W Armitage Ave.,1
5522,60647,Chicago - Logan Square,Armitage and Kimball,
5519,60647,Chicago - Logan Square,kimball and armitage,1
5524,60070,Prospect Heights,,1
5520,60647,Chicago - Logan Square,Armitage and St Louis,
5526,60070,Prospect Heights,Piper Lane,
5525,60645,Chicago - West Ridge, 67th and Mozart,
5530,60614,Chicago - Lincoln Park,,
5529,60623,Chicago - Little Village,"3111 S Lawndale Ave, Chicago, IL 60623",
5528,60402,Berwyn,"6322 W 26th St, Berwyn, IL 60402",
5566,60090,Wheeling,"1020 Plant Rd, Wheeling, IL 60090",
5494,60070,Prospect Heights,604 N. Milwaukee Avenue / Piper Lane,0
5527,60185,West Chicago,"431 N Neltnor Blvd, West Chicago, IL 60185",
5568,60629,Chicago - West Lawn,"3420 W 63rd St
Chicago, IL  60629",
5460,60631,Chicago - Edison Park,Touhy Ave & Osceola Ave,
5459,60506,Aurora,Cermark towards Orchard Road,
5458,60609,Chicago - Mckinley Park ,"W 35th St & Ashland Ave, Chicago, IL 60609, USA",
5413,60004,Palatine,"Best Buy, 615 E Palatine Rd",2
5425,60004,Chicago - ,"615 E Palatine Rd, Arlington Heights, IL 60004 - Parking Lot",2
5462,60478,Country Club Hills,"18158 Ravisloe Teff, Country Club Hills, IL, 60478",1
5463,60603,Chicago - Loop,"55 E Monroe St suite 1500, Chicago, IL 60603, United States",2
5461,60185,West Chicago,"2700 International Dr, West Chicago, IL 60185, United States",
5564,60632,Chicago - Brighton Park,55th & California 60632,1
5565,60632,Chicago - Brighton Park,56th and California,
5563,60018,Des Plaines,"Mount Prospect off Algonquin Road Des Plaines, IL 60018",
5560,60630,Chicago - Jefferson Park,"5001 N Pulaski Rd, Chicago, IL 60630",
5561,60202,Chicago - Evanston,between Michigan Ave and Custer 60202,
5562,60288,Carol Stream,Carol Stream Renaissance apartment,
5559,60288,Carol Stream,"Carol Stream Renaissance apartment 201 Flame Dr, Carol Stream, IL 60188",
5556,60632,Chicago - Brighton Park,"4150 S Karlov Ave, Chicago, IL 60632",
5414,60056,Mt. Prospect ,Algonquin & Dearborn Ct.   https://maps.app.goo.gl/gbjs4SgcVktnKspq8?g_st=ipc,1
5424,60609,Chicago - New City,"S Paulina St & W 49th St, Chicago, IL 60609",2
5555,60659,Chicago - West Ridge,N Albany Ave & W Rosemont Ave 60659,
5558,60188,Carol Stream,"Covered Bridges Apartments at 637 Burns St, Carol Stream, IL 60188",
5557,60074,Palatine,Lake Cook and Rand 60074,
5488,60025,Glenview,"800 Shermer Rd, Glenview, IL 60025",
5490,60623,Chicago - South Lawndale,"S Sawyer Ave & W Cermak Rd., Chicago, IL 60623",
5491,60623,Chicago - South Lawndale,"W Ogden Ave & S Kedzie Ave, Chicago, IL 60623",
5489,60201,Evanston,"3255 Central St., Evanston, IL 60201",
5495,60455,Bridgeview,"7159 82nd St, Bridgeview, IL 60455",
5493,60666,Chicago - O'Hare,"10000 W O'Hare Ave, Chicago, IL 60666",
5492,60640,Chicago - Uptown,"W Montrose Ave & N Broadway, Chicago, IL 60640",
5496,60618,Chicago - Irving Park,"3700 North Lawndale Ave., Chicago IL 60618",
5497,60644,Chicago - Austin,"W Madison St & S Menard Ave, Chicago, IL 60644",
5499,60527,Willowbrook,"7800 South Kingery Highway, Willowbrook, IL, 60527",4
5500,?????,Immigration Court - location unknown,"""Immigration Court""",2
5498,60505,Aurora,"778 Fulton St, Aurora, IL 60505",1
5501,60076,Skokie,"N McCormick Blvd & Howard St, Skokie, IL 60076",
5504,60645,Chicago - West Ridge,"N Kedzie Ave & W Devon Ave, Lincolnwood, IL 60645",
5509,60155,Broadview,"1930 Beach St, Broadview, IL 60155",
5502,,Waukegan,n/a,
5503,60645,Chicago - West Ridge,"N Kedzie Ave & W Arthur Ave, Chicago, IL 60645",
5531,60490,Bolingbrook,"50 veterans pkwy Bolingbrook, IL 60490",
5532,60623,Chicago - Little Village,26th and Kedzie,
