Name,Raids,Count (Raids)
60439,"""Report-5140: Nov. 24 9700 Lemont Rd, Lemont, IL 60439"",Report-462: Oct. 29  near the culver's and Menards,Report-471: Oct. 29 Lemont St and Illinois St,Report-1079: Oct. 22 Bolingbrook,""Report-3313: Sep. 23 1096 State St, Lemont, IL 60439"",""Report-3946: Sep. 11 9700 Lemont Rd, Lemont, IL 60439""",6
60090,"Report-5141: Nov. 24 ,Report-4757: Nov. 10 ,""Report-179: Nov. 1 W Dundee Rd & N Elmhurst Rd, Wheeling, IL 60090"",Report-324: Oct. 30 831 W Dundee Rd,""Report-337: Oct. 30 Schoenbeck Rd, Wheeling, IL 60090"",""Report-339: Oct. 30 550 W Dundee Rd, Wheeling 60090"",Report-347: Oct. 30 150 e dundee rd,""Report-4585: Oct. 30 403 Inland Dr, Wheeling, IL "",""Report-4586: Oct. 30 550 W Dundee Rd, Wheeling, IL "",""Report-369: Oct. 30 403 Inland Dr., Wheeling, IL, 60090"",Report-378: Oct. 30 188 E Dundee,""Report-746: Oct. 25 1455 E Lake Cook Rd, Wheeling, IL 60090"",""Report-1310: Oct. 19 1455 E Lake Cook Rd, Wheeling, IL "",""Report-1323: Oct. 19 1355 Lake Cook Rd, Wheeling, IL 60090"",""Report-1333: Oct. 19 S Milwaukee & E Dundee Rd, Wheeling"",""Report-1336: Oct. 19 550 W Dundee Rd, Wheeling, IL"",""Report-1375: Oct. 18 S Milwaukee Ave & E Dundee Rd, Wheeling, IL 60090"",Report-1394: Oct. 18 Hintz & Milwaukee Ave,Report-1796: Oct. 13 Dundee and Milwaukee,""Report-3754: Sep. 16 1902 S Wolf Rd, Wheeling, IL 60090""",20
60645,"Report-5150: Nov. 24 Ridge and Lunt,""Report-4795: Nov. 8 W Pratt Blvd & N Western Ave, Chicago, IL 60645"",""Report-4699: Nov. 6 W Jarvis Ave & N Seeley Ave, Chicago, IL 60645"",Report-4874: Nov. 6 ,Report-4654: Nov. 5 North California Ave and Chase Ave,""Report-4651: Nov. 5 6601 N Western Ave, Chicago, IL 60645"",""Report-4652: Nov. 5 6601 N Western Ave, Chicago, IL 60645"",""Report-4643: Nov. 5 3042 W Jarlath St, Chicago 60645 "",""Report-4642: Nov. 5 7234 N. Sacramento Ave, West Ridge, Chicago"",Report-4683: Nov. 5 Northshore Ave and N Campbell Ave,""Report-4919: Nov. 5 6554 N Rockwell St, Chicago, IL 60645"",""Report-110: Nov. 3 7446 N Damon, Chicago"",Report-114: Nov. 3 W Devon Ave & N California Ave,""Report-120: Nov. 3 Fairfield and Albion, Chicago"",""Report-128: Nov. 3 Mozart and Arthur, Chicago"",Report-129: Nov. 3 6601 n Fairfield. Chicago,""Report-579: Oct. 27 1600 W. Howard Ave.,"",Report-787: Oct. 24 Touhy and Western,""Report-1129: Oct. 21 N Sacramento Ave & W Birchwood Ave, Chicago, IL 60645"",""Report-1147: Oct. 21 W Devon Ave & N Mozart St, Chicago, IL 60645"",""Report-1151: Oct. 21 7030 N Sacramento Ave, Chicago, IL 60645"",""Report-1158: Oct. 21 2641 W Fitch Ave, Chicago, IL 60645"",""Report-1167: Oct. 21 W Devon Ave & N California Ave, Chicago, IL 60645"",""Report-1169: Oct. 21 7219-7225 N Hamilton Ave, Chicago, IL 60645"",""Report-1170: Oct. 21 West Ridge, Chicago, IL 60645"",""Report-1174: Oct. 21 7141 N Kedzie Ave, Chicago, IL 60645"",""Report-1186: Oct. 21 6601 N Western Ave, Chicago, IL 60645"",""Report-1699: Oct. 14 W Pratt Blvd & N Western Ave., Chicago, IL 60645"",""Report-1863: Oct. 12 6518 N Mozart St, Chicago, IL 60645"",""Report-1872: Oct. 12 W Devon Ave & N Mozart St, Chicago, IL 60645"",""Report-2146: Oct. 10 N Western Ave & W Touhy Ave
Chicago, IL  60645"",""Report-2168: Oct. 10 Fargo Ave and Seelley Ave in Chicago, 60645"",""Report-2215: Oct. 9 7345 N Washtenaw Ave, Chicago, IL 60645"",Report-2273: Oct. 9 6370 N Mozart St,""Report-2383: Oct. 8 6501 N Western Ave, Chicago, IL 60645"",""Report-2574: Oct. 5 7256 N Western Ave, Chicago, IL 60645"",""Report-2589: Oct. 5 6601 N Western Ave, Chicago, IL 60645"",""Report-2814: Oct. 3 7137 N Western Ave, Chicago, IL 60645"",""Report-3265: Sep. 24 Howard St & Western Ave/Asbury Ave, 60645"",Report-3267: Sep. 24 7355 North Damen Ave Chicago IL 60645,""Report-4058: Sep. 9 W Albion Ave & N Artesian Ave., Chicago, IL 60645""",41
60613,"Report-5149: Nov. 24 Ravenswood and Wolcott,""Report-5107: Nov. 21 3737 N. Southport Ave, Chicago, 60613"",Report-5070: Nov. 17 851 W Waveland Ave.,""Report-4995: Nov. 14 640 W Irving Park Rd, Chicago, 60613"",""Report-4539: Nov. 7 4040 N Sheridan Rd
Chicago, IL  60613"",""Report-146: Nov. 3 N Wolcott and Berteau, Chicago"",Report-147: Nov. 3 Fremont and Addison,""Report-4440: Oct. 31 3646 N Broadway St
Chicago, IL  60613"",Report-405: Oct. 29 Irving Park and Clark,Report-985: Oct. 23 Irving Park and LSD,Report-1012: Oct. 23 N Ashland Ave & W Berteau Ave,Report-1072: Oct. 22 Sheridan red line ,""Report-1477: Oct. 16 Irving Park Rd & Ashland Ave, Chicago, IL 60613"",Report-1583: Oct. 16 3600 Ashland Ave,""Report-1585: Oct. 16 640 W Irving Park Rd, Chicago, IL 60613"",Report-1632: Oct. 15 Irving Park and Pine Grove,""Report-1638: Oct. 15 640 Irving Park Rd, Chicago, IL 60613, USA"",""Report-1662: Oct. 15 640 W Irving Park Rd, Chicago, IL 60613"",""Report-1732: Oct. 14 640 W Irving Park Rd, Chicago, IL 60613"",""Report-2067: Oct. 10 4015 N Ashland Ave
Chicago, IL  60613"",Report-2068: Oct. 10 Western Ave. & Addison St.,Report-2079: Oct. 10 1420 W Grace,""Report-2103: Oct. 10 N Sheffield Ave & W Waveland Ave, 60613"",""Report-2107: Oct. 10 851 W Waveland Ave, Chicago, IL 60613, United States"",""Report-2123: Oct. 10 4332 N Paulina St, Chicago, IL 60613, United States"",""Report-2127: Oct. 10 N Paulina St & W Cullom Ave, 60613"",""Report-2135: Oct. 10 Addison & Clark, 60613"",""Report-2137: Oct. 10 4332 N Paulina St, Chicago, IL 60613, United States"",""Report-2153: Oct. 10 851 W Waveland Ave, Chicago, IL 60613, United States"",""Report-2190: Oct. 9 Lake Shore Drive & W Irving Park Rd, Chicago, IL 60613"",Report-2937: Oct. 1 829 W Cuyler Ave Chicago IL 60613,Report-2939: Oct. 1 Addison and Sheffield,Report-2982: Oct. 1 Wrigley Field,""Report-3303: Sep. 23 196 W Addison St., Chicago, IL 60613"",""Report-3471: Sep. 19 Montrose and Lakeshore Drive, 60613"",Report-3586: Sep. 18 841 W Irving Park- BP Gas station,Report-3775: Sep. 15 Waveland and Damen,Report-3818: Sep. 15 1802 W Addison,""Report-3878: Sep. 12 ACE Store: 3921 N Sheridan Rd, Chicago, IL  60613"",""Report-4111: Sep. 5 3831 N Fremont St, Chicago, IL 60613"",""Report-4219: Jul. 22 Clark & Montrose, Chicago, IL 60613"",Report-4315: Jun. 14 Montrose Beach",42
60120,"Report-5151: Nov. 24 Liberty and Columbia,Report-5152: Nov. 24 Dundee and Lincoln,Report-5155: Nov. 24 Porter St and Columbia Ave,Report-5027: Nov. 14 ,Report-4870: Nov. 6 ,""Report-190: Nov. 1 Jay St & Raymond St, Elgin, IL 60120"",Report-1036: Oct. 22 Elgin RRT ,Report-1037: Oct. 22 Kimball and Grove,Report-1108: Oct. 22 near Prospect,""Report-1550: Oct. 16 150 Dexter Ct, Elgin, IL 60120"",""Report-1560: Oct. 16 Robert Gilliam Municipal Complex, 150 Dexter Ct, Elgin, IL 60120"",""Report-1562: Oct. 16 151 Douglas Ave, Elgin, IL 60120"",""Report-1667: Oct. 15 10 S Geneva St, Elgin, IL 60120"",""Report-2078: Oct. 10 Route 20, above Route 59"",Report-2172: Oct. 10 traveling south on Route 31,""Report-2202: Oct. 9 I-90, Mile Marker 53"",""Report-2418: Oct. 8 926 Congdon Ave, Elgin, IL 60120"",""Report-2932: Oct. 2 1046 Hampshire Lane, Elgin, IL 60120"",Report-3387: Sep. 22 Streamwood Blvd,""Report-3438: Sep. 20 Lower Wellington Ave and Bent, Lesenden PL; 528 Wellington , 60120"",""Report-3455: Sep. 20 45 Symphony Way, Elgin, IL"",""Report-3462: Sep. 20 Hastings and Liberty/Route 25, Elgin"",""Report-3464: Sep. 20 Dwight & Liberty Street, Elgin"",""Report-3484: Sep. 19 Gifford St, 60120"",""Report-3527: Sep. 19 Villa and Wright St, 60120"",Report-3539: Sep. 19 En route to Elgin via Route 20,""Report-3767: Sep. 16 904 Chippewa Drive, Elgin, IL 60120"",Report-3828: Sep. 15 Highland and Douglas,Report-3859: Sep. 13 Adams and Gertrude,Report-3903: Sep. 11 Melrose & Carr,Report-3928: Sep. 11 School off Erie,Report-3931: Sep. 11 Mulberry Apartments,Report-3935: Sep. 11 Rec Centre of Elgin,Report-3937: Sep. 11 factory on Erie St in Elgin,Report-3958: Sep. 11 Wilcox and Morgan.,Report-3964: Sep. 11 Locust St.,Report-4268: Jun. 24 Ray's ,Report-4296: Jun. 17 St. Charles Street and Villa Street,Report-4303: Jun. 16 Gertrude and Washburn.,Report-4329: Jun. 13 370 Ann Street,Report-4332: Jun. 13 Spring and Seneca,Report-4333: Jun. 13 Downtown Post Office,Report-4351: May. 22 Maple St and Jane St",43
60629,"""Report-5142: Nov. 24 5731 S Spaulding Ave, Chicago IL 60629"",""Report-4909: Nov. 11 S Komensky Ave & W 65th St, Chicago, IL 60629"",""Report-4467: Nov. 7 S Cicero Ave & W 66th St
"",Report-4861: Nov. 6 59th/Maplewood ,""Report-5: Nov. 5 7200 S Cicero Ave Chicago, IL 60629"",""Report-45: Nov. 4 W 66th St & S Talman Ave, Chicago, IL 60629"",Report-83: Nov. 3 Not given,Report-90: Nov. 3 72nd and Albany,Report-96: Nov. 3 W 72nd St & S Richmond St,Report-103: Nov. 3 72nd and Richmond,Report-604: Oct. 27 S Pulaski Rd and W 55th St ,""Report-741: Oct. 25 W 55th St & S St Louis Ave, Chicago, IL 60629"",""Report-909: Oct. 24 3307 W 63rd St, Chicago, IL 60629."",""Report-910: Oct. 24 3307 W 63rd St, Chicago, IL 60629, United States"",""Report-1362: Oct. 18 S Homan Ave & W 57th St, Chicago, IL 60629"",""Report-1368: Oct. 18 W 56th St & S Pulaski Rd, Chicago, IL 60629"",""Report-1371: Oct. 18 W 56th St & S Lawndale Ave, Chicago, IL 60629"",Report-1650: Oct. 15 70/Washtenaw and 63/Central Park,""Report-1672: Oct. 15 W 55th St & S Rockwell St, 60629"",""Report-1702: Oct. 14 6448 S Tripp Ave, Chicago, IL 60629"",""Report-1704: Oct. 14 S Kedzie Ave & W 59th St, Chicago, IL 60629"",Report-1744: Oct. 14 W 61st Pl & S Lawndale Ave,Report-1897: Oct. 12 61st and Tripp,""Report-1919: Oct. 12 5820 S Homan Ave, Chicago, IL 60629"",Report-1922: Oct. 12 59th and Hamlin,Report-1950: Oct. 11 60th and kedvale,""Report-1988: Oct. 11 57th and Pulaski, Chicago"",""Report-1989: Oct. 11 Karlov and 59th/60th, Chicago"",Report-1994: Oct. 11 60th and Karlov,Report-1998: Oct. 11 Pulaski Orange Line,Report-2010: Oct. 11 5700 S Pulaski,Report-2093: Oct. 10 70th place and S Hamlin Ave,""Report-2188: Oct. 9 W 60th St & S Kildare Ave, Chicago, IL 60629"",""Report-2206: Oct. 9 W 67th St (Marquette) & S Pulaski Rd, Chicago, IL 60629"",""Report-2211: Oct. 9 S Kedzie Ave & W 71st St, Chicago, IL 60629"",""Report-2214: Oct. 9 W Marquette Rd & S Central Park Ave, Chicago, IL 60629"",Report-2295: Oct. 9 7200 S Cicero Ave,""Report-2311: Oct. 8 3635 W 67th St, Chicago, IL 60629"",""Report-2314: Oct. 8 5700 S Kildare Ave, Chicago, IL 60629"",Report-2344: Oct. 8 West 61st Place & South Springfield Avenue,""Report-2447: Oct. 7 Cicero Ave & 65th St, Chicago, IL 60629"",""Report-2448: Oct. 7 W 70th St & S Rockwell St, Chicago, IL 60629"",Report-2481: Oct. 6 W 59th St & S Pulaski Rd,Report-2486: Oct. 6 3721 W 60th Pl.,Report-2493: Oct. 6 S Washtenaw Ave. & W 63rd St,""Report-2495: Oct. 6 S Washtenaw Ave. & W 63rd St, Chicago, IL 60629"",""Report-2691: Oct. 4 63rd and Kostner, Chicago"",""Report-2697: Oct. 4 6120 S Kedzie Ave, Chicago, IL 60629"",""Report-2700: Oct. 4 Kedzie and 61st, Chicago"",""Report-2707: Oct. 4 67th and Artesian, Chicago"",Report-2729: Oct. 3 W 59th St & S Lawndale Ave,""Report-2815: Oct. 3 S Kedzie Ave & W 63rd St, 60629"",""Report-2819: Oct. 3 W 55th St & S St Louis Ave, 60629"",Report-2863: Oct. 2 5815 S Homan Ave,""Report-2865: Oct. 2 5815 S Homan Ave, Chicago, IL 60629"",""Report-2890: Oct. 2 2503 W 71st St, Chicago, IL 60629"",Report-2891: Oct. 2 cicero and marquette,Report-2894: Oct. 2 6058 S Pulaski Rd,""Report-2905: Oct. 2 3215 W 63rd St, Chicago, IL 60629"",""Report-2935: Oct. 1 5514 S Fairfield Ave, Chicago, IL 60629"",Report-3061: Sep. 29 7201 - 7237 S. Cicero,Report-3075: Sep. 29 5600 block of Christiana,Report-3098: Sep. 28 57th and Kildare,""Report-3173: Sep. 26 S Lawndale Ave & W 66th St, 60629"",Report-3196: Sep. 25 W 63rd St & S California Ave,""Report-3312: Sep. 23 W 67th St & S Pulaski Rd, Chicago, IL 60629"",""Report-3351: Sep. 23 W 71st St & S Hamlin Ave, Chicago, IL 60629"",Report-3367: Sep. 22 55th and Maplewood,Report-3403: Sep. 22 Francisco and 63rd,Report-3404: Sep. 22 66th and Kedzie,""Report-3429: Sep. 20 W 56th St & S California Ave, 60629"",""Report-3502: Sep. 19 6201 S Fairfield Ave, Chicago, IL 60629"",""Report-3517: Sep. 19 65th and karlov, 60629"",Report-3519: Sep. 19 65th and Pulaski,""Report-3529: Sep. 19 65th and Karlov, 60629"",""Report-3547: Sep. 19 Marquette rd around Kedzie, 60629"",Report-3550: Sep. 18 59th and rockwell,Report-3570: Sep. 18 Chicago and 63rd ,Report-3579: Sep. 18 63rd and kedzie MFS childcare center,Report-3587: Sep. 18 59th Street and California Ave,""Report-3592: Sep. 18 3215 W 63rd St, Chicago, IL 60629"",""Report-3710: Sep. 16 6901 S Fairfield Ave, Chicago, IL 60629"",""Report-3711: Sep. 16 W 62nd St & S Fairfield Ave, Chicago, IL 60629"",""Report-3829: Sep. 14 Western and Marquette, 60629"",""Report-3836: Sep. 14 Gage Park Soccer Field/Marquette Park, 60629"",Report-3865: Sep. 13 3525 W 63rd st. ,Report-3894: Sep. 12 . 57th place and Springfield Avenue. Right outside Peck Elementary School ,Report-3899: Sep. 12 59th and Lawndale,""Report-3951: Sep. 11 3826 W 58th St, Chicago, IL 60629"",Report-3984: Sep. 10 5905 S Troy St,""Report-4004: Sep. 10 64th and Kolin, zipcode 60629"",""Report-4014: Sep. 9 7100 S Cicero Ave, Chicago, IL 60629"",""Report-4019: Sep. 9 7200 S Cicero Ave, Chicago, IL 60629"",""Report-4028: Sep. 9 W 66th St & S Keating Ave, Chicago, IL 60629"",""Report-4032: Sep. 9 Sanad Social Services, 3302 W 63rd St, Chicago, IL 60629"",""Report-4044: Sep. 9 S Pulaski Rd & W 61st St, Chicago, IL 60629"",""Report-4045: Sep. 9 6751 S Keeler Ave, Chicago, IL 60629"",""Report-4048: Sep. 9 W 58th St & S Albany Ave, Chicago, IL 60629"",""Report-4054: Sep. 9 Kedzie & 55th Street, Chicago, IL 60629"",Report-4080: Sep. 8 Kolin and 62nd,Report-4083: Sep. 8 6751 S. Keeler Ave. ,Report-4085: Sep. 8 61st and Kildare ,Report-4101: Sep. 6 71st and Talman,""Report-4129: Sep. 3 S Mozart St & W 59th St, Chicago, IL 60629
"",Report-4382: Apr. 27 65th and Long ",105
60469,"""Report-5143: Nov. 24 2440 147th St, Posen, IL 60469"",""Report-728: Oct. 25 2440 Walter Zimny Dr, Posen, IL 60469"",""Report-1369: Oct. 18 14526 San Francisco Ave, Posen, IL 60469"",""Report-1380: Oct. 18 Kedzie Ave & 147th St, Posen, IL 60469"",Report-1388: Oct. 18 147th and California,""Report-1393: Oct. 18 147th and Kedzie, Posen"",Report-1500: Oct. 16 Ezekiel and 21st,Report-2861: Oct. 2 142 and Western,""Report-3729: Sep. 16 Campbell Ave & 145th St., Posen, IL 60469""",9
60712,"""Report-5144: Nov. 24 4100-4194 W Devon Ave, Lincolnwood, IL, 60712"",Report-4942: Nov. 12 Park Plaza Nursing Home in Lincolnwood,""Report-30: Nov. 4 3333 W Touhy Ave, Lincolnwood, IL 60712"",Report-879: Oct. 24 Lincolnwood: Clark Street,""Report-903: Oct. 24 6545 Kolmar Ave, Lincolnwood, IL 60712"",""Report-1118: Oct. 21 3900 W Touhy Ave, Lincolnwood, IL 60712"",""Report-1175: Oct. 21 3333 W Touhy Ave, Lincolnwood, IL 60712"",""Report-1674: Oct. 15 Springfield Ave & E Prairie Rd, 60712"",Report-1787: Oct. 13 7001 Central Park,""Report-2071: Oct. 10 W Devon Ave & N McCormick Rd
Chicago, IL  60712"",""Report-3097: Sep. 28 3333 W Touhy Ave, Lincolnwood, IL 60712""",11
60007,"""Report-5145: Nov. 24 Dwight D. Eisenhower Expy Elk Grove Village, IL, 60007 "",""Report-5138: Nov. 23 1001 Fargo Ave, Elk Grove Village, IL 60007"",""Report-5118: Nov. 22 1001 Fargo Ave, Elk Grove Village, IL 60007"",Report-4623: Nov. 6 835 Greeleaf Ave,Report-906: Oct. 24 2501 Lively Blvd,Report-1656: Oct. 15 800 block of Estes Ave Elk Grove Village,""Report-1676: Oct. 15 Scott St & E Higgins Rd Elk Grove Village, IL  60007 "",Report-2087: Oct. 10 345 Criss Circle,""Report-2566: Oct. 5 1050 E Higgins Rd, Elk Grove Village, IL 60007"",Report-3054: Sep. 29 294 and 90 interchange,""Report-3107: Sep. 28 1912 E Higgins rd Elk Grove Village, IL 60007 """,11
60453,"""Report-5146: Nov. 24 5125-5129 W 96th St, Oak Lawn, IL, 60453 "",""Report-4797: Nov. 8 10344 Washington Ave, Oak Lawn, IL 60453"",""Report-4804: Nov. 8 W 96th St, Oak Lawn, IL 60453"",""Report-276: Oct. 31 9626 S Pulaski Rd, Oak Lawn, IL 60453, USA"",""Report-558: Oct. 28 4740 W 95th St, Oak Lawn, IL 60453"",""Report-955: Oct. 23 State Rd & W 87th St, Oak Lawn, IL 60453"",Report-1448: Oct. 17 73rd and Cicero,Report-1980: Oct. 11 Sproat Ave & 94th St,""Report-2002: Oct. 11 110th and Cicero, Oak Lawn"",""Report-2565: Oct. 5 S Cicero Ave & 103rd St, Oak Lawn, IL 60453"",Report-3552: Sep. 18 111th and Central ,Report-3554: Sep. 18 98th and Central,""Report-3762: Sep. 16 95th St & Oak Park Ave, Oak Lawn, IL 60453"",Report-3783: Sep. 15 103rd Street and Cicero Ave.,Report-3793: Sep. 15 10240 S Cicero Ave,Report-3977: Sep. 10 87th and Harlem ,Report-3995: Sep. 10 Pavelion Centennial Park West Parking Lot ,Report-4337: Jun. 12 Worksite ",18
