ID,Address,City,State,oneline,zipcode,lat,lon
1,2723 N Fairfield Ave,Chicago,IL,"2723 N Fairfield Ave, Chicago, IL",60647,41.930643424615,-87.696315209033
2,2723 N Fairfield Ave,Chicago,IL,"2723 N Fairfield Ave, Chicago, IL",60647,41.930643424615,-87.696315209033
3,2402 N Washtenaw Ave,Chicago,IL,"2402 N Washtenaw Ave, Chicago, IL",60647,41.925316755862,-87.695064818733
4,2236 N Rockwell St,Chicago,IL,"2236 N Rockwell St, Chicago, IL",60647,41.922489241821,-87.692855307133
5,2236 N Rockwell St,Chicago,IL,"2236 N Rockwell St, Chicago, IL",60647,41.922489241821,-87.692855307133
6,2236 N Rockwell St,Chicago,IL,"2236 N Rockwell St, Chicago, IL",60647,41.922489241821,-87.692855307133
7,3116 W Belden Ave,Chicago,IL,"3116 W Belden Ave, Chicago, IL",60647,41.923292455976,-87.706097609157
8,2021 N Point St,Chicago,IL,"2021 N Point St, Chicago, IL",60647,41.917709761997,-87.694153919152
9,2040 N Milwaukee Ave,Chicago,IL,"2040 N Milwaukee Ave, Chicago, IL",60647,41.91840604651,-87.690110277311
10,2533 W Homer St,Chicago,IL,"2533 W Homer St, Chicago, IL",60647,41.91658470055,-87.690657069318
11,1640 N Maplewood,Chicago,IL,"1640 N Maplewood, Chicago, IL",60647,41.910497145748,-87.690972209839
12,2315 W Le Moyne St,Chicago,IL,"2315 W Le Moyne St, Chicago, IL",60622,41.908462438643,-87.684960384112
13,1147 N Western Ave,Chicago,IL,"1147 N Western Ave, Chicago, IL",60622,41.902142447335,-87.686932126382
14,2020 W Schiller St,Chicago,IL,"2020 W Schiller St, Chicago, IL",60622,41.907182198455,-87.678204046307
15,1425 W Damen Ave,Chicago,IL,"1425 W Damen Ave, Chicago, IL",60608,41.862934151558,-87.676072304577
16,1148 N Honore St,Chicago,IL,"1148 N Honore St, Chicago, IL",60622,41.902785781929,-87.673660381885
17,1425 W Damen Ave,Chicago,IL,"1425 W Damen Ave, Chicago, IL",60608,41.862934151558,-87.676072304577
18,1501 N Greenview Ave,Chicago,IL,"1501 N Greenview Ave, Chicago, IL",60642,41.908901842045,-87.665125680874
