Joliet,9/15/2025 6:41pm,09-15 Joliet-near Joliet City Hall,9/15/2025 4:00pm,Monday,8AM-4PM,,Confirmed activity around 10am near Joliet city hall. 1 person taken.,near Joliet City Hall,ICE Sighting,,,Other,1,checked,,,RRT,,
Aurora,9/15/2025 6:26pm,09-15 Aurora- Ashland and Watson or Ashland and Hinman,9/15/2025 6:36pm,Monday,8AM-4PM,,Naighbor in Aurora sent over a text stating that ice was on Ashland and Watson or Ashland and Hinman, Ashland and Watson or Ashland and Hinman,Rumors,,,,,,,,RRT,,
Chicago - Little Village,9/15/2025 6:01pm,09-15 Chicago - Little Village-2359 S Albany,9/15/2025 6:01pm,Monday,8AM-4PM,,"Report from someone on activity chat: ""2359 S Albany. They took a father and left the wife and kids in the car."" LVSD RRT sent a member. Connected family to hotline and confirmed one individual was detained, were told he had a work permit and a pending asylum case. Also provided a partial video, which appears to show a vehicle stop.",2359 S Albany,"ICE Sighting, Public Space Raid",,Pulling up cars,Little Village,,checked,,,RRT,,
West Chicago,9/15/2025 5:55pm,09-15 West Chicago-321 Conde St,9/15/2025 5:55pm,Monday,8AM-4PM,,"FSN: ""Someone called to report an ice raid that will happen at JelSert company on 321 condone west Chicago. Workers get out at 3pm and ICE will be waiting outside. They also plan on raiding B33 school district. Caller’s girlfriend told him this info"" The Elgin, WeGo and Aurora teams said they were on the alert in the area.",321 Conde St,Rumors,,,"Aurora, Elgin",,,,,FSN,,
Chicago - Douglass Park,9/15/2025 5:16pm,09-15 Chicago - Douglass Park-2513 W Cullerton St,9/15/2025 5:16pm,Monday,8AM-4PM,,"FSN: ""Caller stating ICE presence on 2513 W Cullerton St"" Sent to LV RRT who didn't see anything.",2513 W Cullerton St,"ICE Sighting, Rumors",,,Little Village,,,,,FSN,,
Chicago - Logan Square,9/15/2025 5:07pm,09-15 Chicago - Logan Square-Rockwell and Fullerton,9/15/2025 5:07pm,Monday,8AM-4PM,,"FSN: ""caller reporting ice activity on  on Rockwell &Fullerton the caller states the ice agents looked as if they were trying to set up for an operation there also this callers husband has videos and pics being sent to our email @ocad"" NWS RRT responded and reported the area was clear with no agents or activity seen.",Rockwell and Fullerton,"ICE Sighting, Rumors",,,Chicago NWS,,,,,FSN,,
Waukegan,9/15/2025 4:57pm,09-15 Waukegan-Franklin and Cory,9/15/2025 4:57pm,Monday,8AM-4PM,,ICE verification in Waukegan on Franklin St and Cory St. we received intel from City of Waukegan on DHS presence at these streets. RRT confirmed,Franklin and Cory,ICE Sighting,,,Waukegan,,checked,,"Gray Ford Expedition - Washington BSJ6714
White Ford Expedition - Illinois 310597
White Ford Explorer - Illinois FL 32909
",RRT,,
Chicago - Portage Park,9/15/2025 4:45pm,09-15 Chicago - Portage Park-Fullerton and Narragansett,9/15/2025 4:45pm,Monday,8AM-4PM,,"FSN: ""Caller just stated that ICE is at Fullerton and Narragansett""",Fullerton and Narragansett,"ICE Sighting, Rumors",,,,,,,,FSN,,
Bensenville,9/15/2025 4:44pm,09-15 Bensenville-1003 Argyle St,9/15/2025 4:44pm,Monday,8AM-4PM,,"FSN: ""Person inside house on 1003 Argyle St in Bensenville, IL is scared. She is noticing some vehicles with dark covered windows just standing there with what seem to be officers inside.""",1003 Argyle St,"ICE Sighting, Rumors",,,,,,,,FSN,,
Chicago - Loop,9/15/2025 4:33pm,09-15 Chicago - Loop-Washington and Jefferson,9/15/2025 4:30pm,Monday,8AM-4PM,,A volunteer reported DHS vehicle near the federal building at Washington and Jefferson.,Washington and Jefferson,"Rumors, ICE Sighting",,,,,,,,RRT,,
Chicago - Brighton Park,9/15/2025 4:30pm,09-15 Chicago - Brighton Park-2611 W 48th St,9/15/2025 4:30pm,Monday,8AM-4PM,,"FSN: ""2611 W. 48TH STREET black jeep circling the school 1 person detained a caller from inside the school reported and cant see much else"" Chicago SWS RRT responded and was not able to confirm the detainment.",2611 W 48th St,"ICE Sighting, Rumors",,,Chicago SWS,1,,,,FSN,,
